article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Eleanor F. Helin,590308,2.1858231159539908e-06,https://en.wikipedia.org/wiki/Eleanor_F._Helin,1932,2009,"https://commons.wikimedia.org/wiki/Special:FilePath/Eleanor F. Helin, 1973.jpg",American astronomer (1932-2009),"['astronomer', 'discoverer of minor planets']",['astronomy'],34.15611111,-118.1319444
Richard Hooker,23399049,2.185028452557412e-06,https://en.wikipedia.org/wiki/Richard_Hooker,1554,1600,https://commons.wikimedia.org/wiki/Special:FilePath/Wenceslas Hollar - Richard Hooker (State 1).jpg,English bishop and Anglican Divine,"['theologian', 'Anglican priest', 'writer']",[],51.19,0.73
Numa Pompilius,85284,2.18466436100379e-06,https://en.wikipedia.org/wiki/Numa_Pompilius,-753,-671,https://commons.wikimedia.org/wiki/Special:FilePath/Numa Pompilius.jpg,"legendary second king of Rome, succeeding Romulus","['Ancient Roman politician', 'Ancient Roman priest']",[],42.182513,12.686649
Flo Rida,13994263,2.183242622326439e-06,https://en.wikipedia.org/wiki/Flo_Rida,1979,,https://commons.wikimedia.org/wiki/Special:FilePath/Flo Rida2012.jpg,American rapper and singer from Florida,"['rapper', 'singer', 'songwriter', 'composer']","['rapping', 'singing']",25.94065,-80.2456
Mahinda Rajapaksa,581583,2.182458434140443e-06,https://en.wikipedia.org/wiki/Mahinda_Rajapaksa,1945,,https://commons.wikimedia.org/wiki/Special:FilePath/Mahinda Rajapaksa 1.jpg,Ex. President of  and Prime Minister of Sri Lanka,"['politician', 'lawyer', 'trade unionist']",[],6.1668,80.7467
James Franco,1563002,2.1819323952897896e-06,https://en.wikipedia.org/wiki/James_Franco,1978,,"https://commons.wikimedia.org/wiki/Special:FilePath/James Franco 4, 2013.jpg",American actor,"['actor', 'television actor', 'film actor', 'film director', 'film producer', 'playwright', 'writer', 'poet', 'film editor', 'screenwriter', 'teacher', 'television presenter']",[],37.42916667,-122.1380556
Abby Wambach,591241,2.180000667271443e-06,https://en.wikipedia.org/wiki/Abby_Wambach,1980,,https://commons.wikimedia.org/wiki/Special:FilePath/Wambach-cropped.jpg,American soccer player (born 1980),"['association football player', 'podcaster']",[],43.16555556,-77.61138889
Bertel Thorvaldsen,65124,2.1790038846978564e-06,https://en.wikipedia.org/wiki/Bertel_Thorvaldsen,1768,1844,https://commons.wikimedia.org/wiki/Special:FilePath/Bertel Thorvaldsen portrait.jpg,Danish sculptor (1770–1844),"['sculptor', 'designer']",['art of sculpture'],55.67669,12.57827
Faisal I of Iraq,194475,2.1787427095566e-06,https://en.wikipedia.org/wiki/Faisal_I_of_Iraq,1883,1933,"https://commons.wikimedia.org/wiki/Special:FilePath/Faisal I, King of Syria and King of Iraq.jpg",1st king of Hashemite Iraq from 1921 to 1933,"['politician', 'military personnel']","['politics', 'governance']",33.3655,44.3578
Loretta Lynn,176316,2.178729230908128e-06,https://en.wikipedia.org/wiki/Loretta_Lynn,1932,2022,https://commons.wikimedia.org/wiki/Special:FilePath/Loretta Lynn LCCN2021643178 (cropped).jpg,American country singer (1932–2022),"['singer-songwriter', 'guitarist', 'violinist', 'recording artist', 'screenwriter']",['music composing'],35.97111111,-87.78194444
