article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Barack Obama,534366,9.01628818732674e-05,https://en.wikipedia.org/wiki/Barack_Obama,1961,,https://commons.wikimedia.org/wiki/Special:FilePath/President Barack Obama.jpg,President of the United States from 2009 to 2017,"['politician', 'lawyer', 'political writer', 'community organizer', 'statesperson', 'jurist', 'podcaster', 'academic', 'memoirist']","['civil rights', 'constitutional law']",21.2998428,-157.8334591
Carl Linnaeus,5233,8.683666264159736e-05,https://en.wikipedia.org/wiki/Carl_Linnaeus,1707,1778,https://commons.wikimedia.org/wiki/Special:FilePath/Carl von Linné.jpg,"Swedish botanist, physician, and zoologist (1707–1778)","['geologist', 'professor', 'botanist', 'physician', 'autobiographer', 'biologist', 'mycologist', 'pteridologist', 'bryologist', 'zoologist', 'entomologist', 'ornithologist', 'naturalist', 'arachnologist', 'mineralogist']","['medicine', 'natural history', 'botany', 'natural science']",59.85805556,17.63333333
Napoleon,69880,8.403170245081305e-05,https://en.wikipedia.org/wiki/Napoleon,1769,1821,https://commons.wikimedia.org/wiki/Special:FilePath/François Gerard - Napoleon I in Coronation Robes.jpeg,"French military leader, French Emperor 1804–1814 and again in 1815","['politician', 'statesperson', 'military officer', 'art collector', 'emperor', 'sovereign', 'militant', 'military leader', 'monarch', 'army officer']",[],48.855,2.3125
Elizabeth II,12153654,7.98321366349883e-05,https://en.wikipedia.org/wiki/Elizabeth_II,1926,2022,https://commons.wikimedia.org/wiki/Special:FilePath/Queen Elizabeth II in March 2015.jpg,Queen of the United Kingdom from 1952 to 2022,"['monarch', 'auto mechanic', 'truck driver', 'art collector', 'aristocrat']",[],51.48361111111111,-0.606944444
Jesus,1095706,7.295124313696195e-05,https://en.wikipedia.org/wiki/Jesus,-7,33,https://commons.wikimedia.org/wiki/Special:FilePath/Spas vsederzhitel sinay.jpg,central figure of Christianity (6 or 4 BC – AD 30 or 33),"['preacher', 'prophet', 'carpenter', 'rabbi', 'thaumaturge', 'religious leader', 'healer', 'Messiah', 'preacher', 'teacher', 'intercession of saints', 'father of faith', 'tektōn', 'pastor']","['carpentry', 'Christian ministry']",31.77861111,35.22944444
George W. Bush,3414021,7.272324922133602e-05,https://en.wikipedia.org/wiki/George_W._Bush,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg,President of the United States from 2001 to 2009,"['politician', 'motivational speaker', 'autobiographer', 'painter', 'rugby union player', 'military officer', 'statesperson', 'businessperson', 'financier', 'governor']",[],41.30833333,-72.925
Franklin D. Roosevelt,10979,6.567598237510745e-05,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882,1945,https://commons.wikimedia.org/wiki/Special:FilePath/FDR 1944 Color Portrait.jpg,president of the United States from 1933 to 1945,"['lawyer', 'politician', 'statesperson', 'golfer', 'screenwriter']",[],41.768055555555556,-73.93483333
William Shakespeare,32897,6.259841690533519e-05,https://en.wikipedia.org/wiki/William_Shakespeare,1564,1616,https://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg,English playwright and poet (1564–1616),"['playwright', 'poet', 'stage actor', 'writer', 'actor', 'dramaturge']","['fiction', 'theatre', 'English drama', 'drama', 'poetry', 'acting']",52.1864,-1.7074
Aristotle,308,6.0142246380385794e-05,https://en.wikipedia.org/wiki/Aristotle,-384,-322,https://commons.wikimedia.org/wiki/Special:FilePath/Aristotle Altemps Inv8575.jpg,Classical Greek philosopher and polymath (384-322 BC),"['biologist', 'cosmologist', 'logician', 'zoologist', 'literary critic', 'mathematician', 'ethicist', 'epistemologist', 'political philosopher', 'polymath', 'philosopher of language', 'writer', 'philosopher', 'astronomer', 'geographer', 'teacher', 'tutor', 'ontologist', 'physicist']","['philosophy', 'natural philosophy']",40.59083333,23.79416667
Adolf Hitler,2731583,5.774640933640819e-05,https://en.wikipedia.org/wiki/Adolf_Hitler,1889,1945,https://commons.wikimedia.org/wiki/Special:FilePath/Hitler portrait crop.jpg,dictator of Germany from 1933 to 1945,"['soldier', 'painter', 'political writer', 'politician', 'military commander', 'writer']","['Nazism', 'Nazi propaganda', 'military', 'politics']",52.5125,13.3815
Bill Clinton,3356,5.627024285329538e-05,https://en.wikipedia.org/wiki/Bill_Clinton,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg,President of the United States from 1993 to 2001,"['politician', 'lawyer', 'diplomat', 'autobiographer', 'writer', 'teacher', 'statesperson', 'saxophonist', 'governor', 'jurist']","['politics', 'jurisprudence']",33.667778,-93.592222
Ronald Reagan,25433,5.221153304705836e-05,https://en.wikipedia.org/wiki/Ronald_Reagan,1911,2004,https://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of President Reagan 1981.jpg,president of the United States from 1981 to 1989 and actor,"['television actor', 'film actor', 'politician', 'autobiographer', 'character actor', 'screenwriter', 'military officer', 'actor', 'trade unionist', 'announcer', 'statesperson', 'voice actor', 'diarist', 'lifeguard', 'anti-communist', 'game show host']",[],34.25951667,-118.8197444
Queen Victoria,47923,4.8739673081019206e-05,https://en.wikipedia.org/wiki/Queen_Victoria,1819,1901,https://commons.wikimedia.org/wiki/Special:FilePath/Queen Victoria by Bassano.jpg,Queen of the United Kingdom from 1837 to 1901,"['monarch', 'painter', 'writer', 'diarist', 'autobiographer', 'aristocrat']",[],51.474,-0.598349
Donald Trump,4848272,4.726901783387784e-05,https://en.wikipedia.org/wiki/Donald_Trump,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/Donald Trump official portrait.jpg,45th President of the United States of America from 2017 to 2021,"['business magnate', 'investor', 'restaurateur', 'politician', 'game show host', 'real estate entrepreneur', 'television producer', 'film producer', 'writer', 'actor', 'chief executive officer', 'conspiracy theorist', 'merchant', 'businessperson', 'entrepreneur']","['real property', 'government', 'television production', 'politics', 'commerce']",40.7005,-73.816
Richard Nixon,25473,4.522968225800108e-05,https://en.wikipedia.org/wiki/Richard_Nixon,1913,1994,"https://commons.wikimedia.org/wiki/Special:FilePath/Richard M. Nixon, ca. 1935 - 1982 - NARA - 530679.jpg",president of the United States from 1969 to 1974,"['politician', 'military officer', 'lawyer', 'autobiographer', 'statesperson']",[],33.88916667,-117.8194444
Joseph Stalin,15641,4.283805114023255e-05,https://en.wikipedia.org/wiki/Joseph_Stalin,1878,1953,https://commons.wikimedia.org/wiki/Special:FilePath/JStalin Secretary general CCCP 1942 flipped.jpg,leader of the Soviet Union from 1924 to 1953,"['politician', 'revolutionary', 'opinion journalist', 'statesperson', 'linguist']","['revolutionary', 'politician', 'opinion journalist']",55.75361111111111,37.61972222222222
Abraham Lincoln,307,4.230387630452581e-05,https://en.wikipedia.org/wiki/Abraham_Lincoln,1809,1865,https://commons.wikimedia.org/wiki/Special:FilePath/Abrahamlincoln.jpg,"president of the United States from 1861 to 1865 (American, 1809–1865)","['politician', 'postmaster', 'lawyer', 'statesperson', 'farmer', 'military officer', 'writer']",[],39.82333333,-89.65583333
Winston Churchill,33265,4.2269884545134985e-05,https://en.wikipedia.org/wiki/Winston_Churchill,1874,1965,https://commons.wikimedia.org/wiki/Special:FilePath/Sir Winston Churchill - 19086236948.jpg,"British statesman, soldier and writer (1874–1965)","['politician', 'journalist', 'painter', 'historian', 'autobiographer', 'screenwriter', 'biographer', 'statesperson', 'military officer', 'writer']",[],51.8303,-1.34972
Plato,22954,4.090165859281902e-05,https://en.wikipedia.org/wiki/Plato,-429,-347,https://commons.wikimedia.org/wiki/Special:FilePath/Plato Silanion Musei Capitolini MC1377.jpg,Greek philosopher (c. 427 – 348 BC),"['philosopher', 'epigrammatist', 'poet', 'writer', 'philosopher of law']","['philosophy', 'literature', 'epistemology', 'law', 'politics', 'education', 'family', 'War', 'friendship', 'love', 'ancient philosophy', 'classical antiquity']",37.98416666666667,23.728055555555557
George Washington,11968,4.0731972080251946e-05,https://en.wikipedia.org/wiki/George_Washington,1732,1799,https://commons.wikimedia.org/wiki/Special:FilePath/Gilbert Stuart Williamstown Portrait of George Washington.jpg,president of the United States from 1789 to 1797,"['politician', 'farmer', 'cartographer', 'geometer', 'engineer', 'statesperson', 'revolutionary', 'writer', 'army officer']",[],38.70777778,-77.08611111
John F. Kennedy,5119376,4.043362740781823e-05,https://en.wikipedia.org/wiki/John_F._Kennedy,1917,1963,"https://commons.wikimedia.org/wiki/Special:FilePath/John F. Kennedy, White House color photo portrait.jpg",President of the United States from 1961 to 1963,"['politician', 'journalist', 'statesperson', 'writer', 'naval officer', 'anti-communist']",[],38.87916666666667,-77.07222222
Muhammad,18934,3.773888083893163e-05,https://en.wikipedia.org/wiki/Muhammad,570,634,https://commons.wikimedia.org/wiki/Special:FilePath/Dark vignette Al-Masjid AL-Nabawi Door800x600x300.jpg,founder and main prophet of Islam (c. 570–632),"['herder', 'consignor', 'merchant', 'prophet', 'preacher', 'politician', 'military leader']",[],24.46757432797691,39.611388828849215
Alexander the Great,783,3.617967485755041e-05,https://en.wikipedia.org/wiki/Alexander_the_Great,-356,-323,https://commons.wikimedia.org/wiki/Special:FilePath/Alexander the Great mosaic (cropped).jpg,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC),"['politician', 'military leader', 'monarch']",[],31.1975,29.8925
Dwight D. Eisenhower,8182,3.580345543419935e-05,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1890,1969,"https://commons.wikimedia.org/wiki/Special:FilePath/Dwight D. Eisenhower, official photo portrait, May 29, 1959.jpg",president of the United States from 1953 to 1961,"['politician', 'writer', 'military officer', 'statesperson', 'military personnel', 'army officer']",['politics of the United States'],38.9122,-97.2108
Charles Darwin,8145410,3.574688462821942e-05,https://en.wikipedia.org/wiki/Charles_Darwin,1809,1882,https://commons.wikimedia.org/wiki/Special:FilePath/Charles Darwin portrait.jpg,English naturalist and biologist (1809–1882),"['geologist', 'explorer', 'travel writer', 'ethologist', 'naturalist', 'philosopher', 'writer', 'botanist']",['biology'],51.4994,-0.127367
Lyndon B. Johnson,54533,3.522947800261602e-05,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1908,1973,"https://commons.wikimedia.org/wiki/Special:FilePath/Lyndon B. Johnson, photo portrait, leaning on chair, color cropped.jpg",president of the United States from 1963 to 1969,"['politician', 'teacher', 'rancher', 'statesperson']","['gun control', 'politics', 'government']",30.239764,-98.610275
Thomas Jefferson,29922,3.48403192164479e-05,https://en.wikipedia.org/wiki/Thomas_Jefferson,1743,1826,"https://commons.wikimedia.org/wiki/Special:FilePath/Official Presidential portrait of Thomas Jefferson (by Rembrandt Peale, 1800)(cropped).jpg",president of the United States from 1801 to 1809,"['teacher', 'cryptographer', 'architect', 'lawyer', 'writer', 'diplomat', 'politician', 'philosopher', 'inventor', 'farmer', 'statesperson', 'archaeologist', 'jurist', 'paleontologist']","['agriculture', 'law', 'philosophy', 'diplomacy', 'architecture']",38.008482,-78.45579
Augustus,1273,3.451986116834421e-05,https://en.wikipedia.org/wiki/Augustus,-63,14,https://commons.wikimedia.org/wiki/Special:FilePath/Statue of the Emperor Octavian Augustus as Jupiter (6).png,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty,"['Ancient Roman politician', 'ancient Roman military personnel']",[],41.90611,12.47639
Theodore Roosevelt,30535,3.438085953089595e-05,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1858,1919,https://commons.wikimedia.org/wiki/Special:FilePath/Theodore Roosevelt by the Pach Bros.jpg,26th President of the United States from 1901 to 1909,"['explorer', 'historian', 'essayist', 'writer', 'politician', 'autobiographer', 'rancher', 'naturalist', 'statesperson', 'conservationist', 'ornithologist', 'diarist']",['politics of the United States'],40.8703,-73.5064
Pope John Paul II,23805,3.4227918412479154e-05,https://en.wikipedia.org/wiki/Pope_John_Paul_II,1920,2005,https://commons.wikimedia.org/wiki/Special:FilePath/Pope John Paul II smile.jpg,264th pope of the Catholic Church,"['Latin Catholic priest', 'poet', 'politician', 'writer', 'human rights activist', 'professor', 'philosopher', 'transitional deacon', 'latin catholic deacon', 'archbishop', 'Catholic bishop']","['Petrine ministry', 'poetry', 'drama', 'scientific writing']",41.90222222222222,12.453416666666667
Albert Einstein,736,3.377125207805641e-05,https://en.wikipedia.org/wiki/Albert_Einstein,1879,1955,https://commons.wikimedia.org/wiki/Special:FilePath/Albert Einstein Head.jpg,German-born theoretical physicist (1879–1955),"['theoretical physicist', 'philosopher of science', 'inventor', 'science writer', 'pedagogue', 'university teacher', 'physicist', 'philosopher', 'writer', 'scientist', 'mathematician', 'patent examiner', 'professor', 'pacifist']",['theoretical physics'],39.008804,-77.053402
George H. W. Bush,11955,3.337664076517059e-05,https://en.wikipedia.org/wiki/George_H._W._Bush,1924,2018,https://commons.wikimedia.org/wiki/Special:FilePath/George H. W. Bush presidential portrait (cropped).jpg,President of the United States from 1989 to 1993,"['politician', 'naval officer', 'baseball player', 'diplomat', 'aircraft pilot', 'entrepreneur', 'autobiographer', 'statesperson']","['politics', 'government']",30.5966,-96.3534
Hillary Clinton,5043192,3.29465212551736e-05,https://en.wikipedia.org/wiki/Hillary_Clinton,1947,,https://commons.wikimedia.org/wiki/Special:FilePath/Hillary Clinton official Secretary of State portrait crop.jpg,"American politician, diplomat, and presidential candidate (born 1947)","['politician', 'lawyer', 'diplomat', 'autobiographer', 'university teacher', 'podcaster', 'jurist', 'film producer']","['politics', 'opinion journalism', 'jurisprudence', 'charity']",41.8822,-87.6302
Karl Marx,16743,3.2923339408340066e-05,https://en.wikipedia.org/wiki/Karl_Marx,1818,1883,https://commons.wikimedia.org/wiki/Special:FilePath/Karl Marx 001.jpg,German-born philosopher (1818–1883),"['economist', 'journalist', 'historian', 'philosopher', 'sociologist', 'revolutionary', 'poet', 'politician', 'writer']","['political economy', 'sociology', 'philosophy']",51.5662,-0.143923
Julius Caesar,15924,3.221842940988363e-05,https://en.wikipedia.org/wiki/Julius_Caesar,-102,-44,https://commons.wikimedia.org/wiki/Special:FilePath/Gaius Iulius Caesar (Vatican Museum).jpg,Roman general and dictator (100–44 BC),"['orator', 'memoirist', 'ruler', 'Ancient Roman historian', 'poet', 'Ancient Roman priest', 'Ancient Roman politician', 'ancient Roman military personnel', 'politician', 'military leader', 'writer', 'historian']",[],41.89203611,12.48609167
Charles II of England,46688,3.190899805983458e-05,https://en.wikipedia.org/wiki/Charles_II_of_England,1630,1685,https://commons.wikimedia.org/wiki/Special:FilePath/Sir Peter Lely (1618-80) - Charles II (1630-1685) - RCIN 405672 - Royal Collection.jpg,British monarch from 1660 to 1685,"['politician', 'slave trader', 'sovereign', 'art collector', 'monarch']",[],51.4994,-0.127367
Pliny the Elder,44920,3.1269489863923387e-05,https://en.wikipedia.org/wiki/Pliny_the_Elder,20,79,https://commons.wikimedia.org/wiki/Special:FilePath/Grande Illustrazione del Lombardo Veneto Vol 3 Plinio Secondo 300dpi.jpg,1st-century Roman military commander and writer,"['writer', 'historian', 'naturalist', 'military personnel', 'poet', 'philosopher', 'art historian', 'civil servant', 'military commander']","['philosophy', 'natural science', 'geography']",40.70305555555556,14.498888888888889
Harry S. Truman,3418303,3.119295613366075e-05,https://en.wikipedia.org/wiki/Harry_S._Truman,1884,1972,https://commons.wikimedia.org/wiki/Special:FilePath/TRUMAN 58-766-06 (cropped).jpg,president of the United States from 1945 to 1953; politician (1884-1972),"['politician', 'judge', 'businessperson', 'military officer', 'diarist']",[],39.10333333,-94.42083333
Jimmy Carter,15992,3.0895091601372234e-05,https://en.wikipedia.org/wiki/Jimmy_Carter,1924,,https://commons.wikimedia.org/wiki/Special:FilePath/JimmyCarterPortrait2.jpg,president of the United States from 1977 to 1981,"['naval officer', 'diplomat', 'novelist', 'politician', 'farmer', 'autobiographer', 'submariner', 'statesperson', 'environmentalist', 'businessperson', 'engineer', 'peace activist', 'human rights activist', 'writer', 'humanitarian']",['gun control'],32.03361111,-84.39333333
Charlemagne,5314,3.080347138837668e-05,https://en.wikipedia.org/wiki/Charlemagne,740,814,https://commons.wikimedia.org/wiki/Special:FilePath/Charlemagne denier Mayence 812 814.jpg,"king of Franks, regarded as the first Holy Roman Emperor (747–814)","['monarch', 'sovereign']",[],50.77475,6.083922222
James VI and I,269055,3.023146553200031e-05,https://en.wikipedia.org/wiki/James_VI_and_I,1566,1625,"https://commons.wikimedia.org/wiki/Special:FilePath/John de Critz - James VI and I, 1566 - 1625. King of Scotland 1567 - 1625. King of England and Ireland 1603 - 1625 - PG 561 - National Galleries of Scotland.jpg","King of Scotland (1566–1625), England and Ireland (1603–25)","['poet', 'writer', 'monarch', 'aristocrat']",[],51.4994,-0.127367
Charles I of England,7426,3.0143835276202835e-05,https://en.wikipedia.org/wiki/Charles_I_of_England,1600,1649,https://commons.wikimedia.org/wiki/Special:FilePath/Anthony van Dyck (1599-1641) - Charles I (1600-1649) - RCIN 404398 - Royal Collection.jpg,"monarch of the three kingdoms of England, Scotland, and Ireland (1600-1649)","['politician', 'art collector', 'monarch']",[],51.48361111111111,-0.606944444
Isaac Newton,14627,2.917046908866084e-05,https://en.wikipedia.org/wiki/Isaac_Newton,1642,1727,https://commons.wikimedia.org/wiki/Special:FilePath/GodfreyKneller-IsaacNewton-1689.jpg,English mathematician and physicist (1642–1727),"['mathematician', 'physicist', 'philosopher', 'astronomer', 'theologian', 'inventor', 'alchemist', 'politician', 'polymath', 'university teacher', 'non-fiction writer', 'theoretical physicist', 'chemist', 'theologian', 'astrologer', 'writer', 'mintmaster', 'scientist', 'executive']","['physics', 'mechanics', 'mathematics', 'astronomy', 'natural science', 'celestial mechanics', 'gravity', 'optics', 'mathematical analysis', 'momentum']",51.4994,-0.127367
Woodrow Wilson,33523,2.8956935445509917e-05,https://en.wikipedia.org/wiki/Woodrow_Wilson,1856,1924,"https://commons.wikimedia.org/wiki/Special:FilePath/Thomas Woodrow Wilson, Harris & Ewing bw photo portrait, 1919.jpg",president of the United States from 1913 to 1921,"['politician', 'university teacher', 'lawyer', 'academic', 'statesperson', 'political scientist', 'jurist', 'teacher', 'writer']",[],38.93061111,-77.07055556
"Charles V, Holy Roman Emperor",70716,2.8512084327634537e-05,"https://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor",1500,1558,"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Charles V, Holy Roman Emperor, seated (1500–1558), formerly attributed to Titian (Alte Pinakothek, Munich).jpg","Holy Roman Emperor, King of Spain and Duke of Burgundy (1500–1558)",['monarch'],[],40.58890556,-4.14684444
Wolfgang Amadeus Mozart,33163,2.791650116540812e-05,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,1756,1791,https://commons.wikimedia.org/wiki/Special:FilePath/Wolfgang-amadeus-mozart 1.jpg,Austrian composer of the Classical period (1756-1791),"['composer', 'music educator', 'pianist', 'musician', 'organist', 'violinist']","['opera', 'symphony', 'concerto', 'chamber music', 'string quintet', 'string quartet', 'symphonic music', 'religious music', 'classical music', 'music', 'piano performance']",48.18277778,16.40166667
Vladimir Lenin,11015252,2.7756723201531128e-05,https://en.wikipedia.org/wiki/Vladimir_Lenin,1870,1924,https://commons.wikimedia.org/wiki/Special:FilePath/LeninEnSuizaMarzo1916--barbaroussovietr00mcbr.png,"Russian politician, communist theorist and the founder of the Soviet Union, one of the initiators and organizers of the Red Terror","['politician', 'writer', 'economist', 'lawyer', 'revolutionary', 'journalist', 'philosopher', 'political theorist', 'Leader of the world proletariat']","['Leninism', 'politics', 'communism']",55.75361111111111,37.61972222222222
Cicero,6046,2.739977283141346e-05,https://en.wikipedia.org/wiki/Cicero,-106,-43,https://commons.wikimedia.org/wiki/Special:FilePath/Bust of Cicero (1st-cent. BC) - Palazzo Nuovo - Musei Capitolini - Rome 2016.jpg,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)","['philosopher', 'poet', 'political theorist', 'jurist', 'writer', 'Ancient Roman priest', 'Ancient Roman politician', 'ancient Roman military personnel', 'lawyer', 'orator', 'politician']","['philosophy', 'rhetoric', 'literature']",41.25638889,13.60694444
Herodotus,13574,2.711353021518693e-05,https://en.wikipedia.org/wiki/Herodotus,-484,-425,https://commons.wikimedia.org/wiki/Special:FilePath/Herodotus Massimo Inv124478.jpg,Greek historian and geographer (c.484–c.425 BC),"['historian', 'politician', 'writer', 'geographer']","['history', 'politics', 'creative and professional writing']",39.695,16.47111111
Augustine of Hippo,2030,2.664070361159357e-05,https://en.wikipedia.org/wiki/Augustine_of_Hippo,354,430,https://commons.wikimedia.org/wiki/Special:FilePath/Augustine Lateran.jpg,"Christian theologian, philosopher, and saint (354–430)","['philosopher', 'theologian', 'autobiographer', 'music theorist', 'preacher', 'historian', 'poet', 'writer', 'Catholic priest', 'titular bishop', 'Catholic bishop']","['philosophy', 'theology']",45.19127778,9.154944444
Margaret Thatcher,19831,2.642450945188967e-05,https://en.wikipedia.org/wiki/Margaret_Thatcher,1925,2013,https://commons.wikimedia.org/wiki/Special:FilePath/Margaret Thatcher stock portrait (cropped).jpg,British stateswoman and prime minister (1925–2013),"['politician', 'chemist', 'autobiographer', 'barrister', 'statesperson', 'scientist']","['politics', 'chemistry']",51.48638889,-0.157777778
George V,46823,2.59965069843682e-05,https://en.wikipedia.org/wiki/George_V,1865,1936,https://commons.wikimedia.org/wiki/Special:FilePath/King George 1923 LCCN2014715558 (cropped).jpg,"King of the United Kingdom and the British Dominions, and Emperor of India (1865–1936)","['philatelist', 'politician', 'monarch', 'aristocrat']",[],51.48361111111111,-0.606944444
Paul the Apostle,24140,2.5432645151742565e-05,https://en.wikipedia.org/wiki/Paul_the_Apostle,5,66,https://commons.wikimedia.org/wiki/Special:FilePath/Giovanni Francesco Barbieri - Saint Paul.jpg,Early Christian apostle and missionary (c. AD 5 – c. 64/65),"['writer', 'theologian', 'missionary', 'religious figure', 'rabbi', 'traveler', 'artisan']",[],41.89305556,12.48277778
Vladimir Putin,32817,2.5340129090720845e-05,https://en.wikipedia.org/wiki/Vladimir_Putin,1952,,https://commons.wikimedia.org/wiki/Special:FilePath/Vladimir Putin in KGB uniform.jpg,"President of Russia (1999–2008, 2012–present)","['politician', 'judoka', 'stunt performer', 'intelligence agent', 'President of the Republic']","['politics', 'intelligence activity', 'military affairs', 'jurisprudence']",59.939717,30.357559
Ludwig van Beethoven,17914,2.5241201242385645e-05,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven,1770,1827,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph Karl Stieler's Beethoven mit dem Manuskript der Missa solemnis.jpg,German composer (1770–1827),"['composer', 'pianist', 'conductor', 'music educator', 'organist', 'virtuoso', 'improviser', 'violinist', 'writer']","['classical music', 'symphony', 'string quartet', 'chamber music', 'traditional folk song', 'string trio', 'opera', 'music', 'piano performance']",48.15072,16.43808
Ptolemy,23979,2.471437224623013e-05,https://en.wikipedia.org/wiki/Ptolemy,85,170,https://commons.wikimedia.org/wiki/Special:FilePath/PSM V78 D326 Ptolemy.png,"2nd-century Roman mathematician, astronomer, geographer","['mathematician', 'geographer', 'astronomer', 'astrologer', 'music theorist', 'philosopher', 'musicologist', 'epigrammatist', 'writer']","['astronomy', 'astrology', 'mathematics', 'mechanics', 'optics', 'geography', 'music theorist', 'music theory']",31.1975,29.8925
Johann Sebastian Bach,9906294,2.458348324228236e-05,https://en.wikipedia.org/wiki/Johann_Sebastian_Bach,1685,1750,https://commons.wikimedia.org/wiki/Special:FilePath/Johann Sebastian Bach.png,German composer (1685–1750),"['composer', 'organist', 'harpsichordist', 'violinist', 'violist', 'conductor', 'choir director', 'concertmaster', 'musicologist', 'music educator', 'virtuoso', 'school teacher']",[],51.339292,12.372586
Martin Luther,7567080,2.419498177246728e-05,https://en.wikipedia.org/wiki/Martin_Luther,1483,1546,"https://commons.wikimedia.org/wiki/Special:FilePath/Lucas Cranach d.Ä. - Martin Luther, 1528 (Veste Coburg).jpg","German priest, theologian and author (1483–1546)","['translator', 'theologian', 'professor', 'lawyer', 'Bible translator', 'hymnwriter', 'Protestant reformer', 'philosopher', 'pastor', 'writer', 'preacher', 'composer', 'scribe', 'Catholic priest']","['theology', 'philosophy', 'Protestant Reformation', 'literature', 'translation']",51.86638889,12.63777778
Tony Blair,3301347,2.414961111412731e-05,https://en.wikipedia.org/wiki/Tony_Blair,1953,,https://commons.wikimedia.org/wiki/Special:FilePath/Tony Blair 2010 (cropped).jpg,Prime Minister of the United Kingdom from 1997 to 2007,"['politician', 'diplomat', 'autobiographer', 'lawyer']",[],55.95333333333333,-3.189166667
Pope Benedict XVI,39660,2.4129175065340637e-05,https://en.wikipedia.org/wiki/Pope_Benedict_XVI,1927,2022,https://commons.wikimedia.org/wiki/Special:FilePath/Papst Benedikt XVI in Berlin 2011.jpg,pope of the Catholic Church from 2005 to 2013 (1927–2022),"['Latin Catholic priest', 'religious writer', 'pianist', 'university teacher', 'philosopher', 'transitional deacon', 'Catholic deacon', 'Latin Catholic bishop', 'Catholic theologian', 'archbishop']","['Christian theology', 'Petrine ministry']",41.90222222,12.45333333
Charles Dickens,5884,2.3961840398580316e-05,https://en.wikipedia.org/wiki/Charles_Dickens,1812,1870,https://commons.wikimedia.org/wiki/Special:FilePath/Dickens Gurney head.jpg,English novelist and social critic (1812–1870),"['writer', 'novelist', 'journalist', 'social critic', 'playwright', 'author', ""children's writer"", 'editor', 'prose writer', 'botanist']",['literature'],51.4994,-0.127367
Bob Dylan,4637590,2.392939120223081e-05,https://en.wikipedia.org/wiki/Bob_Dylan,1941,,https://commons.wikimedia.org/wiki/Special:FilePath/Joan Baez Bob Dylan crop.jpg,American singer-songwriter (born 1941),"['songwriter', 'film actor', 'poet', 'guitarist', 'autobiographer', 'painter', 'record producer', 'film director', 'lyricist', 'composer', 'screenwriter', 'disc jockey', 'actor', 'singer', 'radio personality', 'designer', 'writer', 'musician']","['singing', 'pop music', 'creative and professional writing', 'folk music', 'blues', 'rock music', 'gospel music', 'country music', 'jazz', 'popular music']",46.786944444444444,-92.09805556
Elvis Presley,9288,2.371477723159413e-05,https://en.wikipedia.org/wiki/Elvis_Presley,1935,1977,https://commons.wikimedia.org/wiki/Special:FilePath/Elvis Presley 1973 RCA Records and Tapes publicity 2 - cropped.png,American singer and actor (1935–1977),"['film actor', 'singer', 'composer']",[],35.04611111111111,-90.02583333
Benito Mussolini,19283178,2.310578599801428e-05,https://en.wikipedia.org/wiki/Benito_Mussolini,1883,1945,https://commons.wikimedia.org/wiki/Special:FilePath/Mussolini biografia.jpg,Italian politician and journalist who founded and led the National Fascist Party,"['journalist', 'teacher', 'politician', 'fascist']",[],44.090486,11.979087
Benjamin Franklin,3986,2.275587244723479e-05,https://en.wikipedia.org/wiki/Benjamin_Franklin,1706,1790,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph Siffrein Duplessis - Benjamin Franklin - Google Art Project.jpg,"American author, printer, political theorist, politician, postmaster, scientist, inventor, civic activist, statesman, diplomat, Founding Father (1706–1790)","['politician', 'publisher', 'printer', 'political theorist', 'postmaster', 'inventor', 'political activist', 'statesperson', 'diplomat', 'dilettante', 'polymath', 'chess player', 'designer', 'musician', 'political philosopher', 'autobiographer', 'librarian', 'journalist', 'economist', 'physicist', 'editor', 'writer']",['physics'],39.950722,-75.143861
Sigmund Freud,26743,2.268045784206501e-05,https://en.wikipedia.org/wiki/Sigmund_Freud,1856,1939,"https://commons.wikimedia.org/wiki/Special:FilePath/Sigmund Freud, by Max Halberstadt (cropped).jpg",Austrian neurologist and founder of psychoanalysis (1856–1939),"['psychoanalyst', 'neurologist', 'essayist', 'philosopher', 'psychologist', 'psychiatrist']","['psychoanalysis', 'neurology']",51.57695425,-0.193964186
