page_id,pagerank_score,page_id_from,page_title_from,article name,wikipedia link
18079,2.0692113141086023e-05,18079,Leonardo da Vinci,Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci
24517,2.062321865238708e-05,24517,Plutarch,Plutarch,https://en.wikipedia.org/wiki/Plutarch
22413,2.0546751982492632e-05,22413,Oliver Cromwell,Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell
25452,1.996460608809327e-05,25452,Richard Wagner,Richard Wagner,https://en.wikipedia.org/wiki/Richard_Wagner
21490957,1.989291404416666e-05,21490957,Thomas Aquinas,Thomas Aquinas,https://en.wikipedia.org/wiki/Thomas_Aquinas
32359,1.987974970061951e-05,32359,Virgil,Virgil,https://en.wikipedia.org/wiki/Virgil
14995351,1.9861563604145472e-05,14995351,Michael Jackson,Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson
1814,1.948346632218752e-05,1814,Adam Smith,Adam Smith,https://en.wikipedia.org/wiki/Adam_Smith
16209,1.9460947884897397e-05,16209,Justinian I,Justinian I,https://en.wikipedia.org/wiki/Justinian_I
5030380,1.9275823103164407e-05,5030380,Gerald Ford,Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford
46755,1.923131158508575e-05,46755,George VI,George VI,https://en.wikipedia.org/wiki/George_VI
31752,1.914950855955981e-05,31752,Ulysses S. Grant,Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant
44356,1.909031915562846e-05,44356,Peter the Great,Peter the Great,https://en.wikipedia.org/wiki/Peter_the_Great
50908,1.908515178580781e-05,50908,Roger Ebert,Roger Ebert,https://en.wikipedia.org/wiki/Roger_Ebert
20076,1.8902248932391545e-05,20076,Martin Luther King Jr.,Martin Luther King Jr.,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
15630,1.8838235587616745e-05,15630,James Cook,James Cook,https://en.wikipedia.org/wiki/James_Cook
5243711,1.867269797741737e-05,5243711,James II of England,James II of England,https://en.wikipedia.org/wiki/James_II_of_England
7907317,1.8403742886034786e-05,7907317,Mahmoud Ahmadinejad,Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad
25525,1.8329929135857076e-05,25525,René Descartes,René Descartes,https://en.wikipedia.org/wiki/René_Descartes
8169,1.8168868866583414e-05,8169,Dante Alighieri,Dante Alighieri,https://en.wikipedia.org/wiki/Dante_Alighieri
47387,1.8155658608138077e-05,47387,William III of England,William III of England,https://en.wikipedia.org/wiki/William_III_of_England
11466,1.8063888497007477e-05,11466,Francisco Franco,Francisco Franco,https://en.wikipedia.org/wiki/Francisco_Franco
51255,1.8062669591254236e-05,51255,Charles de Gaulle,Charles de Gaulle,https://en.wikipedia.org/wiki/Charles_de_Gaulle
